participant,group,RT_mean,RT_sd,success_rate,hit_rate,false_alarms,n_levels,max_level,attrition_levels
1,Single,3107.3333333333335,1259.9194796645122,100.0,100.0,0.0,15,15,0
10,Single,2967.6,2512.0056244250045,96.66666666666667,100.0,0.06666666666666667,15,15,0
11,Single,2604.3333333333335,1992.4806386105975,100.0,100.0,0.0,15,15,0
12,Single,2649.3333333333335,2283.6096947804454,91.11066666666667,100.0,0.26666666666666666,15,15,0
13,Single,2900.133333333333,2347.6646105884724,100.0,100.0,0.0,15,15,0
14,Single,3793.866666666667,3430.333217189313,93.33333333333333,100.0,0.13333333333333333,15,15,0
15,Single,2116.8125,1296.033035522886,95.0,93.75,0.25,16,15,0
16,Single,2696.9333333333334,1837.8821455556886,100.0,100.0,0.0,15,15,0
17,Single,2426.733333333333,2370.889238440375,100.0,100.0,0.0,15,15,0
18,Single,2616.75,1807.2229340436484,96.875,93.75,0.0625,16,15,0
19,Single,2887.4666666666667,1904.7431347884706,96.66666666666667,100.0,0.06666666666666667,15,15,0
2,Single,3729.125,3166.1792089730698,95.833125,93.75,0.125,16,15,0
20,Single,3487.9333333333334,2245.8335222192695,100.0,100.0,0.0,15,15,0
21,Single,3968.2,3847.8974629938207,100.0,100.0,0.0,15,15,0
22,Multiple,1480.75,455.53945753185974,94.09400000000001,98.616,0.95,20,14,1
23,Multiple,1969.4166666666667,1554.8684515145167,95.68416666666667,98.21416666666666,0.5,12,10,5
24,Multiple,3120.4166666666665,2852.0481781705685,97.37333333333333,88.21416666666666,0.3333333333333333,12,10,5
25,Multiple,1176.7,198.12793285596496,100.0,100.0,0.0,10,10,5
26,Multiple,2160.7272727272725,1350.2916048697841,96.60454545454546,98.05181818181818,0.45454545454545453,11,10,5
27,Multiple,2547.7272727272725,1687.2648334454843,96.1190909090909,98.70181818181818,0.5454545454545454,11,10,5
28,Multiple,1685.25,905.8141616548868,100.0,98.80916666666667,0.0,12,11,4
29,Multiple,1746.090909090909,568.047613241259,98.25727272727272,98.05181818181818,0.2727272727272727,11,10,5
3,Single,2287.0625,1414.3502380362982,96.875,93.75,0.0625,16,15,0
30,Multiple,1656.4285714285713,699.4210478658775,94.14357142857143,97.48285714285714,1.0714285714285714,14,13,2
31,Multiple,1490.0,322.96718099522127,99.39363636363636,98.70181818181818,0.09090909090909091,11,10,5
32,Multiple,1700.0833333333333,551.0305152964569,93.56,98.11500000000001,1.0,12,10,5
33,Multiple,1657.4615384615386,498.26810309722066,96.57615384615384,97.2523076923077,0.5384615384615384,13,11,4
34,Multiple,2219.3,1420.3379136279118,96.023,100.0,0.5,10,10,5
35,Multiple,1738.1818181818182,398.84328204993454,98.69454545454546,98.05181818181818,0.18181818181818182,11,10,5
36,Multiple,2218.8333333333335,3168.718864529361,94.34833333333334,100.0,0.9166666666666666,12,10,5
37,Multiple,1135.923076923077,189.89754322549024,91.08076923076922,100.0,1.6923076923076923,13,13,2
4,Single,2837.5625,2146.282179917947,96.875,93.75,0.0625,16,15,0
5,Single,3696.7894736842104,4027.299737471573,81.75421052631579,78.94736842105263,0.6842105263157895,19,15,0
6,Single,3148.4615384615386,3280.8879000897714,83.27615384615385,82.05128205128206,0.6666666666666666,39,15,0
7,Single,3064.4666666666667,2415.3199985174006,100.0,100.0,0.0,15,15,0
8,Single,2435.5555555555557,2110.623053319236,87.26833333333333,83.33333333333333,1.0555555555555556,18,15,0
9,Single,2686.2,1562.25149795324,100.0,100.0,0.0,15,15,0
